time,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Euro area - 19 countries  (from 2015),European Union - 27 countries (from 2020),Finland,France,Germany (until 1990 former territory of the FRG),Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey
2007Q2,,,,,,,,,,,,57.8,,,,,,,,,,,,,,,,,,,,,,,,
2007Q3,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,
2007Q4,,,,,,,,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,,,
2008Q1,,,,,,,,,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,,
2008Q2,,,,,,,,,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,,
2008Q3,,,,,,,,,,,,58.4,,,,,,,,,,,,,,,,,,,,,,,,
2008Q4,,,,,,,,,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,,
2009Q1,62.7,55.1,55.3,52.8,64.1,59.8,67.1,60.0,57.1,56.2,61.6,58.0,59.5,54.1,50.9,74.6,61.0,50.3,57.8,54.5,57.2,50.0,,69.6,38.9,71.6,52.1,57.0,45.6,,57.7,60.1,54.8,65.0,,41.1
2009Q2,62.5,54.8,54.6,52.9,63.8,59.2,66.4,57.8,56.7,55.9,60.6,57.9,59.3,53.9,50.9,73.2,59.8,49.9,55.4,53.6,58.4,50.2,,69.1,40.0,71.2,52.0,56.7,45.1,,56.8,60.7,54.1,64.3,71.6,42.5
2009Q3,62.5,54.7,53.4,52.6,63.8,58.8,65.8,57.3,56.4,55.6,60.4,57.6,59.4,53.8,50.6,75.1,58.7,49.7,52.0,53.1,59.0,49.6,,68.7,40.3,70.4,52.2,55.9,44.8,,56.4,61.0,53.7,63.7,,43.2
2009Q4,62.6,55.0,52.6,52.8,63.8,58.6,64.3,56.9,56.4,55.5,59.9,57.5,60.0,53.5,50.6,75.1,58.1,49.5,50.6,52.0,58.1,50.0,,68.3,39.1,70.0,52.5,56.0,43.7,,55.7,60.3,53.3,63.6,,43.4
2010Q1,62.6,55.3,52.7,52.2,63.5,58.3,64.1,55.0,56.4,55.6,59.6,57.7,60.1,53.1,50.4,74.9,57.4,49.5,50.9,51.4,57.3,50.4,,68.0,38.6,69.9,51.5,56.0,46.6,42.9,55.0,59.7,53.1,63.5,69.8,43.4
2010Q2,62.7,54.9,52.4,50.5,63.6,58.4,64.5,55.1,56.4,55.6,60.1,57.7,60.3,52.4,50.5,74.1,57.2,49.3,51.6,51.1,57.6,51.0,,68.1,39.2,70.0,52.0,55.8,47.1,42.7,55.1,59.4,53.0,63.8,70.0,45.0
2010Q3,63.0,55.1,51.8,50.4,63.9,58.6,64.2,56.3,56.4,55.6,60.0,57.7,60.6,51.8,50.6,73.9,56.6,49.1,52.2,51.3,59.5,51.0,,68.0,40.5,69.6,52.2,55.5,46.9,42.4,55.5,58.8,52.9,64.1,70.3,44.7
2010Q4,63.2,55.8,51.2,50.9,63.9,58.6,63.7,58.3,56.4,55.6,59.8,57.6,60.6,51.2,50.7,74.4,56.0,49.4,52.1,52.0,58.9,50.1,,68.0,41.2,69.6,52.2,55.5,46.7,42.0,55.7,59.1,52.7,64.2,70.3,44.9
2011Q1,63.0,54.7,51.0,50.1,63.7,58.9,63.7,58.2,56.5,55.7,59.8,57.5,61.6,50.2,50.7,74.1,55.9,49.6,53.0,53.1,58.3,51.3,40.4,67.8,40.5,69.7,52.2,55.5,47.0,41.5,55.5,57.7,52.5,64.8,70.7,45.6
2011Q2,63.1,55.8,50.6,48.6,62.8,58.9,64.1,59.2,56.7,55.9,60.6,57.6,62.2,49.2,51.0,74.4,56.1,49.4,53.7,54.0,56.4,51.5,41.9,67.7,40.0,69.8,52.4,55.5,46.4,40.8,55.9,58.0,52.6,64.9,71.0,46.8
2011Q3,63.4,54.9,50.8,49.1,61.7,58.9,63.9,60.7,56.6,55.8,60.5,57.5,62.3,48.0,51.1,74.1,55.4,49.4,53.7,53.9,58.3,52.2,42.0,67.8,40.4,69.9,52.4,54.9,46.4,40.3,55.9,57.7,52.0,65.0,70.8,47.1
2011Q4,63.1,55.2,50.6,48.9,60.8,58.7,63.0,60.6,56.5,55.7,60.5,57.5,62.5,46.7,51.4,73.9,55.7,49.3,54.4,54.5,57.8,51.5,42.3,68.0,39.8,69.9,52.5,54.1,46.7,40.0,55.7,57.3,51.3,64.9,71.1,46.6
2012Q1,63.2,54.8,50.5,47.9,60.5,58.8,63.0,61.3,56.3,55.6,60.3,57.4,62.4,45.8,51.3,74.5,55.5,49.2,55.1,54.8,57.7,52.4,42.3,68.0,39.9,69.9,52.6,53.4,47.1,40.0,56.0,58.1,50.7,64.9,70.9,45.7
2012Q2,63.2,55.0,50.6,48.1,59.6,59.0,63.2,61.8,56.2,55.6,60.6,57.4,62.6,44.6,51.7,75.7,55.4,49.2,55.8,55.4,58.6,52.8,41.5,67.8,40.1,69.9,52.8,53.2,47.2,40.1,56.1,57.1,50.2,65.0,70.9,47.4
2012Q3,63.2,55.1,51.1,48.1,59.2,59.2,63.0,62.2,56.2,55.5,60.6,57.4,62.9,43.7,52.1,75.0,55.5,49.1,56.5,56.1,60.0,53.5,44.1,67.7,40.3,69.5,52.6,52.6,47.3,40.6,56.1,56.5,49.8,65.0,71.2,47.1
2012Q4,63.3,54.9,51.2,46.3,58.5,59.3,62.9,62.1,55.9,55.4,60.2,57.4,62.8,43.5,52.3,75.4,55.8,48.8,56.6,55.9,59.8,53.3,43.1,67.4,40.6,69.5,52.8,51.7,47.3,41.0,55.6,57.0,49.2,65.0,70.6,47.6
2013Q1,63.1,54.5,51.0,46.1,57.5,59.5,62.4,62.9,55.8,55.2,59.5,57.0,63.1,42.8,51.7,75.1,56.2,48.3,57.7,56.3,58.7,54.1,42.2,67.1,41.3,69.2,52.6,51.4,47.1,42.0,55.9,55.7,49.0,65.1,70.8,47.2
2013Q2,63.2,55.0,51.3,47.0,56.4,59.9,62.4,64.1,55.8,55.3,60.0,57.1,63.5,42.7,53.0,76.3,56.7,48.0,57.8,56.9,58.0,54.7,43.0,66.9,42.0,69.2,52.7,51.6,47.3,42.2,55.8,56.2,48.8,65.2,70.8,48.3
2013Q3,63.2,55.0,51.5,46.4,56.5,59.9,62.7,62.5,55.9,55.4,59.7,57.2,63.4,42.5,53.4,76.9,57.4,48.0,58.2,57.1,60.0,54.9,43.7,66.6,42.1,69.3,53.0,52.4,47.4,43.3,55.8,56.7,48.9,65.3,70.7,47.6
2013Q4,62.9,54.6,51.5,47.1,56.3,60.0,62.1,62.5,55.9,55.4,59.4,57.0,63.4,42.5,54.0,76.9,57.7,48.1,58.2,57.6,59.6,55.4,42.8,66.4,42.2,69.3,53.3,53.1,47.6,43.8,55.9,56.5,48.9,65.4,70.7,47.2
2014Q1,62.7,54.5,52.1,47.2,56.7,60.2,61.9,62.9,55.9,55.6,59.2,57.0,63.7,43.0,55.1,76.6,57.6,48.1,58.8,57.9,59.2,56.0,44.7,66.0,42.4,68.9,53.6,53.1,48.1,43.4,56.1,56.7,49.1,65.4,70.5,47.0
2014Q2,62.8,55.0,52.4,48.1,56.8,60.2,62.4,64.2,56.1,55.8,59.4,57.0,63.9,42.9,55.3,78.2,57.7,48.2,59.0,58.3,59.2,56.1,46.0,66.1,42.4,69.3,54.0,53.9,48.0,44.4,56.5,57.9,49.4,65.6,71.2,48.0
